WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
17,Bogota,Copa Colsanitas,4/7/2023,WTA250,Outdoor,Clay,Quarterfinals,3,Jones F.,Pigossi L.,817,101,26,662,6,4,6,2,,,2,0,Completed,1.73,2.1,1.92,1.99,1.92,2.1,1.78,2.01
17,Bogota,Copa Colsanitas,4/8/2023,WTA250,Outdoor,Clay,Quarterfinals,3,Rakhimova K.,Sorribes Tormo S.,90,106,712,607,6,4,7,5,,,2,0,Completed,2.5,1.53,2.68,1.54,2.63,1.53,2.5,1.52
17,Bogota,Copa Colsanitas,4/8/2023,WTA250,Outdoor,Clay,Quarterfinals,3,Stearns P.,Zidansek T.,116,110,563,595,6,3,2,6,6,2,2,1,Completed,1.91,1.91,2,1.9,2,1.95,1.91,1.87
17,Bogota,Copa Colsanitas,4/8/2023,WTA250,Outdoor,Clay,Semifinals,3,Maria T.,Jones F.,66,817,851,26,6,3,6,4,,,2,0,Completed,1.36,3.2,1.37,3.39,1.4,3.43,1.34,3.17
17,Bogota,Copa Colsanitas,4/8/2023,WTA250,Outdoor,Clay,Semifinals,3,Stearns P.,Rakhimova K.,116,90,563,712,3,6,6,2,6,2,2,1,Completed,1.62,2.3,1.64,2.42,1.71,2.42,1.61,2.28
17,Bogota,Copa Colsanitas,4/9/2023,WTA250,Outdoor,Clay,The Final,3,Maria T.,Stearns P.,66,116,851,563,6,3,2,6,6,4,2,1,Completed,2,1.8,1.96,1.94,2.06,1.94,1.99,1.81
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Fruhvirtova L.,Teichmann J.,60,31,940,1329,6,2,3,6,6,2,2,1,Completed,2.5,1.53,2.61,1.55,2.61,1.57,2.51,1.51
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Begu I.,Galfi D.,37,87,1258,732,6,1,7,5,,,2,0,Completed,1.4,3,1.4,3.18,1.44,3.18,1.39,2.92
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Brengle M.,Kanepi K.,92,59,706,942,6,3,6,4,,,2,0,Completed,2.5,1.53,2.58,1.56,2.65,1.56,2.49,1.52
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Tsurenko L.,Ormaechea P.,77,183,772,361,6,1,6,1,,,2,0,Completed,1.13,6,1.16,6.02,1.16,6.5,1.14,5.58
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Grabher J.,Zhang S.,89,28,716,1395,6,4,1,6,6,3,2,1,Completed,1.91,1.91,1.93,1.96,1.93,2,1.86,1.92
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Blinkova A.,Bondar A.,63,86,891,742,7,6,6,2,,,2,0,Completed,1.57,2.38,1.67,2.33,1.67,2.38,1.62,2.26
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Sebov K.,Davis L.,148,57,441,984,4,6,6,1,6,2,2,1,Completed,2.5,1.53,2.35,1.66,2.51,1.71,2.28,1.61
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Cornet A.,Crawley F.,64,N/A,858,N/A,6,0,6,2,,,2,0,Completed,1.03,15,1.05,15.56,1.05,17,1.03,12.26
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Vickery S.,Day K.,187,184,348,351,6,4,6,2,,,2,0,Completed,1.57,2.38,1.67,2.32,1.67,2.43,1.58,2.34
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Putintseva Y.,Svitolina E.,47,N/A,1155,N/A,6,7,6,2,6,4,2,1,Completed,1.33,3.4,1.36,3.37,1.36,3.5,1.33,3.26
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Kalinskaya A.,Kalinina A.,70,30,813,1342,7,6,6,4,,,2,0,Completed,2.63,1.5,2.73,1.51,2.76,1.57,2.59,1.49
18,Charleston,Charleston Open,4/3/2023,WTA500,Outdoor,Clay,1st Round,3,Stephens S.,Chirico L.,50,165,1058,397,3,6,6,1,6,2,2,1,Completed,1.3,3.5,1.3,3.88,1.32,3.88,1.29,3.55
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Gracheva V.,Friedsam A.L.,46,93,1164,702,7,6,6,2,,,2,0,Completed,1.53,2.5,1.55,2.61,1.56,2.75,1.5,2.56
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Badosa P.,Sherif M.,33,62,1283,903,6,3,6,1,,,2,0,Completed,1.3,3.5,1.29,3.98,1.31,3.98,1.28,3.62
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Shnaider D.,Parks A.,95,56,684,989,6,4,6,3,,,2,0,Completed,1.44,2.75,1.46,2.9,1.49,3.1,1.42,2.81
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Pera B.,Liu C.,38,53,1249,1024,6,4,6,7,6,3,2,1,Completed,1.73,2.1,1.88,2,1.88,2.17,1.72,2.1
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Mcnally C.,Niemeier J.,71,65,812,858,6,4,6,1,,,2,0,Completed,2.2,1.67,2.5,1.59,2.6,1.68,2.31,1.59
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Keys M.,Navarro E.,22,118,1707,554,6,4,6,3,,,2,0,Completed,1.29,3.75,1.33,3.59,1.33,3.75,1.3,3.43
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Dolehide C.,Lisicki S.,172,305,383,202,6,4,6,4,,,2,0,Completed,1.62,2.3,1.58,2.53,1.65,2.53,1.58,2.34
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Bucsa C.,Bouzkova M.,81,36,753,1274,7,5,6,7,6,1,2,1,Completed,2.63,1.5,2.47,1.6,2.8,1.6,2.6,1.48
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Fernandez L.A.,Rodina E.,51,330,1050,181,6,3,6,2,,,2,0,Completed,1.17,5,1.16,6,1.18,6,1.15,5.27
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Kenin S.,Sasnovich A.,142,49,466,1089,6,1,6,7,6,1,2,1,Completed,1.57,2.38,1.66,2.35,1.66,2.45,1.6,2.31
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Baptiste H.,Wang Xiy.,275,55,241,990,6,3,6,3,,,2,0,Completed,3.2,1.36,3.25,1.39,3.25,1.4,3.04,1.37
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,1st Round,3,Rogers S.,Collins D.,44,40,1185,1242,6,7,6,4,6,1,2,1,Completed,2.2,1.67,2.15,1.78,2.22,1.81,2.1,1.72
18,Charleston,Charleston Open,4/4/2023,WTA500,Outdoor,Clay,2nd Round,3,Kalinskaya A.,Cornet A.,70,64,813,858,7,6,4,6,6,2,2,1,Completed,1.57,2.38,1.56,2.57,1.6,2.63,1.54,2.43
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Azarenka V.,Stephens S.,18,50,2182,1058,3,6,6,3,6,2,2,1,Completed,1.4,3,1.51,2.74,1.51,3,1.45,2.72
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Jabeur O.,Tsurenko L.,5,77,4866,772,6,3,6,3,,,2,0,Completed,1.57,2.38,1.58,2.51,1.6,2.79,1.57,2.37
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Shnaider D.,Kudermetova V.,95,13,684,2360,6,4,6,3,,,2,0,Completed,4,1.25,3.71,1.32,4.01,1.32,3.55,1.29
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Kasatkina D.,Brengle M.,8,92,3375,706,6,2,6,1,,,2,0,Completed,1.3,3.5,1.3,3.84,1.33,3.85,1.29,3.5
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Badosa P.,Fernandez L.A.,33,51,1283,1050,7,5,7,6,,,2,0,Completed,1.44,2.75,1.43,3.04,1.46,3.1,1.41,2.87
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Grabher J.,Vickery S.,89,187,716,348,6,1,6,2,,,2,0,Completed,2.1,1.73,2.11,1.8,2.25,1.8,2.11,1.71
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Dolehide C.,Fruhvirtova L.,172,60,383,940,6,2,5,7,6,3,2,1,Completed,2.5,1.53,2.38,1.64,2.52,1.64,2.35,1.58
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Pera B.,Bucsa C.,38,81,1249,753,6,3,6,4,,,2,0,Completed,1.5,2.63,1.51,2.73,1.57,2.75,1.49,2.58
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Alexandrova E.,Putintseva Y.,17,47,2185,1155,6,1,6,3,,,2,0,Completed,1.62,2.3,1.67,2.32,1.69,2.32,1.64,2.23
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Keys M.,Baptiste H.,22,275,1707,241,6,1,6,2,,,2,0,Completed,1.13,6,1.15,6.24,1.15,6.24,1.13,5.72
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Pegula J.,Blinkova A.,3,63,5605,891,6,2,6,0,,,2,0,Completed,1.13,6,1.16,5.84,1.16,7.25,1.13,5.83
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Begu I.,Kenin S.,37,142,1258,466,6,1,6,4,,,2,0,Completed,1.73,2.1,1.84,2.06,1.87,2.14,1.77,2.02
18,Charleston,Charleston Open,4/5/2023,WTA500,Outdoor,Clay,2nd Round,3,Linette M.,Gracheva V.,19,46,1855,1164,6,7,7,5,6,4,2,1,Completed,2,1.8,2.21,1.74,2.25,1.81,2.09,1.73
18,Charleston,Charleston Open,4/6/2023,WTA500,Outdoor,Clay,2nd Round,3,Rogers S.,Mcnally C.,44,71,1185,812,6,7,7,5,6,1,2,1,Completed,1.3,3.5,1.33,3.58,1.38,3.63,1.31,3.36
18,Charleston,Charleston Open,4/6/2023,WTA500,Outdoor,Clay,2nd Round,3,Bencic B.,Sebov K.,11,148,3035,441,6,0,6,3,,,2,0,Completed,1.13,6,1.13,6.98,1.14,7,1.12,6.19
18,Charleston,Charleston Open,4/6/2023,WTA500,Outdoor,Clay,3rd Round,3,Kalinskaya A.,Azarenka V.,70,18,813,2182,6,4,7,6,,,2,0,Completed,2.63,1.5,2.55,1.57,2.88,1.57,2.6,1.48
18,Charleston,Charleston Open,4/6/2023,WTA500,Outdoor,Clay,3rd Round,3,Badosa P.,Shnaider D.,33,95,1283,684,6,1,6,3,,,2,0,Completed,1.29,3.75,1.29,3.91,1.29,4.2,1.25,3.83
18,Charleston,Charleston Open,4/6/2023,WTA500,Outdoor,Clay,3rd Round,3,Jabeur O.,Dolehide C.,5,172,4866,383,6,3,7,5,,,2,0,Completed,1.2,4.5,1.21,4.9,1.22,5.36,1.19,4.56
18,Charleston,Charleston Open,4/6/2023,WTA500,Outdoor,Clay,3rd Round,3,Alexandrova E.,Grabher J.,17,89,2185,716,6,4,6,2,,,2,0,Completed,1.2,4.5,1.21,4.92,1.28,4.92,1.21,4.38
